City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Avera,US,2022-08-02 23:34:11,33.194,-82.5271,90.91,43,66,6.67
89,Kahului,US,2022-08-02 23:33:50,20.8947,-156.47,87.82,62,40,23.02
90,Chapais,CA,2022-08-02 23:30:08,49.7834,-74.8492,65.98,62,50,5.48
91,Qaanaaq,GL,2022-08-02 23:34:12,77.484,-69.3632,46.15,60,98,2.28
92,Mataura,NZ,2022-08-02 23:34:12,-46.1927,168.8643,44.47,84,97,10.42
93,Nemuro,JP,2022-08-02 23:34:12,43.3236,145.575,60.82,93,99,10.47
94,Dikson,RU,2022-08-02 23:34:13,73.5069,80.5464,42.33,89,85,10.29
95,Sibu,MY,2022-08-02 23:34:13,2.3,111.8167,75.51,88,40,5.01
96,Codrington,AU,2022-08-02 23:32:38,-38.2667,141.9667,55.49,73,89,21.05
97,Angoram,PG,2022-08-02 23:34:14,-4.0625,144.0661,84.49,68,92,4.32
98,San Rafael,AR,2022-08-02 23:34:14,-34.6177,-68.3301,50.77,49,0,7.31
99,Gornopravdinsk,RU,2022-08-02 23:34:15,60.05,69.9,52.14,80,45,3.15
100,Coquimbo,CL,2022-08-02 23:33:23,-29.9533,-71.3436,53.33,76,100,1.14
101,Nefteyugansk,RU,2022-08-02 23:34:15,61.0998,72.6035,54.82,73,34,6.15
102,Kirksville,US,2022-08-02 23:34:15,40.1948,-92.5833,91.35,67,0,12.66
103,San Joaquin,US,2022-08-02 23:34:16,37.9333,-121.3011,100.47,29,0,11.5
104,Ixtapa,MX,2022-08-02 23:34:16,20.7,-105.2,88.23,66,75,5.75
105,Mar Del Plata,AR,2022-08-02 23:30:03,-38.0023,-57.5575,55.09,97,100,6.91
106,Bethel,US,2022-08-02 23:29:43,41.3712,-73.414,87.76,84,100,3.44
107,Chattanooga,US,2022-08-02 23:30:33,35.0456,-85.3097,87.46,79,68,2.21
108,Saint-Philippe,RE,2022-08-02 23:29:33,-21.3585,55.7679,65.21,80,37,6.53
109,Lebu,CL,2022-08-02 23:34:17,-37.6167,-73.65,47.61,81,0,16.71
110,Jidong,CN,2022-08-02 23:34:17,45.2167,131.0833,77.72,84,100,3.18
111,Ponta Do Sol,PT,2022-08-02 23:31:27,32.6667,-17.1,71.71,82,9,5.37
112,Kikwit,CD,2022-08-02 23:34:18,-5.041,18.8162,80.8,43,82,2.04
113,Camacha,PT,2022-08-02 23:34:18,33.0833,-16.3333,67.42,73,75,13.8
114,Esperance,AU,2022-08-02 23:34:19,-33.8667,121.9,48.04,64,28,30.27
115,Borzya,RU,2022-08-02 23:34:19,50.3833,116.5167,76.15,60,86,6.13
116,Lata,PT,2022-08-02 23:34:19,40.1629,-8.3327,60.91,96,6,1.1
117,Belyy Yar,RU,2022-08-02 23:34:20,53.6039,91.3903,57.09,77,0,0.0
118,Komsomolskiy,UZ,2022-08-02 23:34:20,40.4272,71.7189,72.32,53,56,5.75
119,Dubai,AE,2022-08-02 23:30:06,25.2582,55.3047,98.53,41,0,3.44
120,Bathsheba,BB,2022-08-02 23:34:21,13.2167,-59.5167,83.01,87,20,18.41
121,Lethem,GY,2022-08-02 23:34:21,3.3803,-59.7968,76.21,89,87,5.61
122,Yantal,RU,2022-08-02 23:34:21,56.8471,105.2542,56.64,96,100,9.8
123,Shache,CN,2022-08-02 23:34:22,38.4167,77.2406,77.72,50,95,9.93
124,Mkushi,ZM,2022-08-02 23:34:22,-13.6202,29.3939,53.64,90,40,6.49
125,Gibraltar,GI,2022-08-02 23:32:44,36.1447,-5.3526,75.15,88,100,9.22
126,Batsfjord,NO,2022-08-02 23:34:23,70.6345,29.7185,55.18,94,86,13.8
127,Lasa,IT,2022-08-02 23:34:23,46.6166,10.7002,65.28,88,65,2.35
128,Guerrero Negro,MX,2022-08-02 23:30:45,27.9769,-114.0611,77.56,61,100,18.84
129,Stupino,RU,2022-08-02 23:34:24,54.9008,38.0708,61.83,78,98,6.13
130,Vao,NC,2022-08-02 23:34:24,-22.6667,167.4833,73.09,86,81,13.4
131,Baykit,RU,2022-08-02 23:30:44,61.67,96.37,53.62,92,100,2.62
132,Qaqortoq,GL,2022-08-02 23:34:25,60.7167,-46.0333,46.0,79,41,3.04
133,Hami,CN,2022-08-02 23:35:25,42.8,93.45,72.91,65,35,6.58
134,Cherskiy,RU,2022-08-02 23:35:25,68.75,161.3,48.49,97,100,4.34
135,Yenagoa,NG,2022-08-02 23:35:26,4.9247,6.2642,72.01,91,37,3.6
136,Prince Rupert,CA,2022-08-02 23:35:26,54.3161,-130.3201,56.89,94,100,9.22
137,Vardo,NO,2022-08-02 23:35:27,70.3705,31.1107,53.58,87,79,0.0
138,Jacqueville,CI,2022-08-02 23:35:27,5.2052,-4.4146,75.15,76,63,9.91
139,Hithadhoo,MV,2022-08-02 23:35:27,-0.6,73.0833,79.86,77,73,11.79
140,Seymchan,RU,2022-08-02 23:33:18,62.8833,152.4333,72.43,52,100,8.05
141,Talaya,RU,2022-08-02 23:35:28,61.3833,152.75,68.47,54,100,9.53
142,Faridabad,IN,2022-08-02 23:35:28,28.4333,77.3167,89.49,61,100,2.77
143,Jalu,LY,2022-08-02 23:35:28,29.0331,21.5482,79.95,57,0,15.61
144,Zhangye,CN,2022-08-02 23:32:18,38.9342,100.4517,70.21,64,47,2.57
145,Kaitangata,NZ,2022-08-02 23:29:46,-46.2817,169.8464,51.39,69,41,15.21
146,Beloha,MG,2022-08-02 23:35:29,-25.1667,45.05,61.99,70,0,11.45
147,Yellowknife,CA,2022-08-02 23:34:09,62.456,-114.3525,70.32,30,20,8.05
148,Dukat,RU,2022-08-02 23:35:30,62.55,155.55,56.86,76,100,7.38
149,Laurel,US,2022-08-02 23:30:31,39.0993,-76.8483,90.86,64,0,8.05
150,Okakarara,NA,2022-08-02 23:35:30,-20.5833,17.4333,39.29,25,3,5.23
151,Mendi,PG,2022-08-02 23:35:31,-6.1761,143.6513,68.16,61,89,2.95
152,Eureka,US,2022-08-02 23:35:31,40.8021,-124.1637,75.2,74,31,3.0
153,Ananas,HT,2022-08-02 23:35:32,19.2466,-71.9557,72.91,87,5,6.6
154,Kavieng,PG,2022-08-02 23:35:32,-2.5744,150.7967,84.31,72,55,16.13
155,Hilo,US,2022-08-02 23:29:39,19.7297,-155.09,81.28,91,100,8.05
156,Vesyegonsk,RU,2022-08-02 23:35:32,58.664,37.2604,58.96,88,93,3.47
157,Mehamn,NO,2022-08-02 23:35:33,71.0357,27.8492,51.75,93,100,5.75
158,Asau,RO,2022-08-02 23:35:33,46.4333,26.4,60.28,67,1,5.03
159,Bosaso,SO,2022-08-02 23:32:50,11.2842,49.1816,91.36,38,2,17.49
160,Naryan-Mar,RU,2022-08-02 23:35:34,67.6713,53.087,61.77,66,100,7.38
161,Fort Nelson,CA,2022-08-02 23:29:43,58.8053,-122.7002,71.19,53,75,4.61
162,Geraldton,AU,2022-08-02 23:35:34,-28.7667,114.6,59.41,77,75,12.66
163,Strathpeffer,GB,2022-08-02 23:35:34,57.588,-4.5382,61.16,84,96,8.55
164,Abha,SA,2022-08-02 23:35:35,18.2164,42.5053,62.42,88,0,5.75
165,Batagay,RU,2022-08-02 23:35:35,67.6333,134.6333,54.77,71,78,3.98
166,Constitucion,CL,2022-08-02 23:34:07,-35.3333,-72.4167,48.87,77,0,7.16
167,Ngunguru,NZ,2022-08-02 23:35:35,-35.6167,174.5,60.64,74,100,4.92
168,Bambous Virieux,MU,2022-08-02 23:35:36,-20.3428,57.7575,68.25,88,75,6.91
169,Livingston,GB,2022-08-02 23:35:36,55.9029,-3.5226,63.48,73,0,13.8
170,Nantucket,US,2022-08-02 23:33:48,41.2835,-70.0995,80.71,94,100,9.22
171,Berdigestyakh,RU,2022-08-02 23:35:37,62.0989,126.6992,70.34,80,70,2.06
172,Shahr-E Kord,IR,2022-08-02 23:35:37,32.3256,50.8644,69.57,30,20,6.91
173,Altamira,BR,2022-08-02 23:35:37,-3.2033,-52.2064,77.56,70,89,2.28
174,Rio Grande,BR,2022-08-02 23:35:38,-32.035,-52.0986,55.94,90,54,6.69
175,Santa Catarina De Tepehuanes,MX,2022-08-02 23:35:38,25.35,-105.7333,72.7,51,83,8.63
176,Dudinka,RU,2022-08-02 23:31:28,69.4058,86.1778,43.63,63,8,11.05
177,Verkhnevilyuysk,RU,2022-08-02 23:35:39,63.4453,120.3167,62.17,59,59,7.27
178,Xihe,CN,2022-08-02 23:35:39,31.6864,113.4659,86.16,71,0,4.54
179,Opuwo,NA,2022-08-02 23:35:40,-18.0607,13.84,46.99,14,93,1.81
180,Andenes,NO,2022-08-02 23:36:40,69.3143,16.1194,51.93,93,100,2.3
181,Padang,ID,2022-08-02 23:36:41,-0.9492,100.3543,75.81,93,100,3.94
182,Port Macquarie,AU,2022-08-02 23:36:41,-31.4333,152.9167,63.34,50,86,7.47
183,Hervey Bay,AU,2022-08-02 23:36:42,-25.2986,152.8535,63.01,94,51,4.0
184,Porto Santo,PT,2022-08-02 23:36:42,33.072,-16.3415,70.18,73,75,13.8
185,Salinas,US,2022-08-02 23:36:42,36.6777,-121.6555,88.61,67,0,14.97
186,Formiga,BR,2022-08-02 23:33:27,-20.4644,-45.4264,69.22,40,74,4.43
187,Imeni Poliny Osipenko,RU,2022-08-02 23:36:43,52.4201,136.4853,61.54,89,100,5.32
188,Estelle,US,2022-08-02 23:36:43,29.8458,-90.1067,84.18,74,75,6.91
189,San Patricio,US,2022-08-02 23:32:05,28.017,-97.5169,94.17,53,7,20.76
190,San Antonio,US,2022-08-02 23:35:56,29.4241,-98.4936,104.05,30,20,14.97
191,Kulhudhuffushi,MV,2022-08-02 23:36:44,6.6221,73.07,80.78,78,95,21.52
192,Itarema,BR,2022-08-02 23:32:34,-2.9248,-39.9167,78.67,83,31,14.45
193,Paracatu,BR,2022-08-02 23:36:44,-17.2222,-46.8747,73.04,41,56,2.48
194,Baoqing,CN,2022-08-02 23:36:45,46.3317,132.2111,84.58,58,5,5.84
195,Casper,US,2022-08-02 23:35:42,42.8666,-106.3131,78.82,46,100,4.61
196,Kalabo,ZM,2022-08-02 23:36:46,-14.97,22.6814,59.45,50,6,6.82
197,Anadyr,RU,2022-08-02 23:36:46,64.75,177.4833,66.7,52,0,4.47
198,Lagoa,PT,2022-08-02 23:36:46,39.05,-27.9833,74.28,85,15,16.06
199,Norman Wells,CA,2022-08-02 23:36:47,65.282,-126.8329,77.04,41,75,6.91
200,Tromso,NO,2022-08-02 23:34:59,69.6496,18.957,51.82,82,100,5.75
201,Igarka,RU,2022-08-02 23:36:47,67.4667,86.5833,46.94,73,1,7.18
202,Nahrin,AF,2022-08-02 23:36:48,36.0649,69.1334,69.64,43,6,3.6
203,Saint George,US,2022-08-02 23:35:23,37.1041,-113.5841,100.44,24,0,11.5
204,Kununurra,AU,2022-08-02 23:36:48,-15.7667,128.7333,64.38,82,24,0.0
205,Develi,TR,2022-08-02 23:36:49,38.3906,35.4922,67.35,56,0,2.59
206,Makushino,RU,2022-08-02 23:36:49,55.2103,67.2442,53.19,85,16,7.49
207,Staroaleyskoye,RU,2022-08-02 23:36:49,51.0061,82.0,59.34,93,31,1.19
208,Ostrovnoy,RU,2022-08-02 23:36:50,68.0531,39.5131,53.91,96,23,4.68
209,Presidente Medici,BR,2022-08-02 23:36:50,-11.1753,-61.9014,82.0,36,72,3.69
210,Axim,GH,2022-08-02 23:36:51,4.8699,-2.2405,73.09,78,45,7.47
211,Comodoro Rivadavia,AR,2022-08-02 23:36:51,-45.8667,-67.5,40.86,56,0,9.22
212,Broome,US,2022-08-02 23:36:52,42.2506,-75.833,78.55,60,0,12.66
213,Haines Junction,CA,2022-08-02 23:36:52,60.7522,-137.5108,57.15,77,100,1.14
214,Carnarvon,AU,2022-08-02 23:36:52,-24.8667,113.6333,67.42,60,92,17.72
215,Port Blair,IN,2022-08-02 23:36:53,11.6667,92.75,77.04,94,100,2.3
216,Baruun-Urt,MN,2022-08-02 23:36:53,46.6806,113.2792,73.44,60,3,2.01
217,Ancud,CL,2022-08-02 23:36:53,-41.8697,-73.8203,46.22,89,99,4.83
218,Waterloo,CA,2022-08-02 23:36:35,43.4668,-80.5164,75.07,56,0,11.5
219,Houma,US,2022-08-02 23:36:54,29.5958,-90.7195,82.0,79,0,3.0
220,Aksu,CN,2022-08-02 23:36:54,41.1231,80.2644,74.37,50,87,6.6
221,Westport,US,2022-08-02 23:36:55,41.1415,-73.3579,87.85,65,0,9.22
222,Severo-Kurilsk,RU,2022-08-02 23:36:55,50.6789,156.125,56.35,76,26,7.31
223,San Luis,AR,2022-08-02 23:36:55,-33.295,-66.3356,54.72,56,28,8.79
224,Kaka,TM,2022-08-02 23:36:56,37.3482,59.6143,83.46,27,0,6.71
225,Alofi,NU,2022-08-02 23:29:40,-19.0595,-169.9187,78.69,65,75,18.41
226,Kupang,ID,2022-08-02 23:36:56,-10.1667,123.5833,77.67,65,46,6.38
227,Champerico,GT,2022-08-02 23:29:47,14.3,-91.9167,90.14,72,6,8.48
228,Tame,CO,2022-08-02 23:37:57,6.461,-71.73,71.8,89,99,3.38
229,Tuatapere,NZ,2022-08-02 23:37:57,-46.1333,167.6833,50.02,77,87,14.27
230,Simdega,IN,2022-08-02 23:37:58,22.6167,84.5167,78.17,84,100,1.77
231,Santa Marinella,IT,2022-08-02 23:37:58,42.0345,11.8536,73.31,61,14,2.15
232,Coihaique,CL,2022-08-02 23:37:58,-45.5752,-72.0662,39.81,75,75,4.61
233,Srednekolymsk,RU,2022-08-02 23:37:59,67.45,153.6833,61.63,88,100,10.63
234,Conceicao Do Araguaia,BR,2022-08-02 23:37:59,-8.2578,-49.2647,79.2,33,80,3.44
235,Freetown,SL,2022-08-02 23:38:00,8.484,-13.2299,76.71,94,75,4.61
236,Kruisfontein,ZA,2022-08-02 23:38:00,-34.0033,24.7314,57.18,55,1,5.97
237,Caravelas,BR,2022-08-02 23:38:00,-17.7125,-39.2481,69.42,84,8,4.85
238,Clyde River,CA,2022-08-02 23:38:01,70.4692,-68.5914,37.63,100,100,4.61
239,Hualmay,PE,2022-08-02 23:38:01,-11.0964,-77.6139,62.1,81,16,12.86
240,Sur,OM,2022-08-02 23:38:01,22.5667,59.5289,88.21,64,26,7.63
241,Mayo,US,2022-08-02 23:33:47,38.8876,-76.5119,91.35,68,0,5.75
242,Trojes,AL,2022-08-02 23:38:02,41.756,19.962,64.89,49,1,8.19
243,Mildura,AU,2022-08-02 23:38:02,-34.2,142.15,58.06,82,47,15.57
244,Chicama,PE,2022-08-02 23:38:03,-7.8447,-79.1469,59.54,84,20,7.96
245,Rorvik,NO,2022-08-02 23:38:03,64.8621,11.2373,56.95,76,100,9.86
246,Tarragona,ES,2022-08-02 23:38:04,41.129,1.249,81.39,73,0,5.01
247,Tiksi,RU,2022-08-02 23:38:04,71.6872,128.8694,39.92,85,100,6.67
248,Saint Anthony,US,2022-08-02 23:38:04,45.0205,-93.218,94.93,60,75,20.71
249,Tabou,CI,2022-08-02 23:38:05,4.423,-7.3528,75.13,73,100,5.99
250,Batagay-Alyta,RU,2022-08-02 23:38:05,67.8006,130.4114,46.85,83,100,3.2
251,Sao Filipe,CV,2022-08-02 23:36:31,14.8961,-24.4956,77.94,81,74,5.14
252,Suez,EG,2022-08-02 23:38:06,29.9737,32.5263,77.11,73,7,8.16
253,Port Hardy,CA,2022-08-02 23:38:06,50.6996,-127.4199,60.98,77,75,9.22
254,Dinar,TR,2022-08-02 23:38:07,38.065,30.1656,75.16,56,2,6.4
255,Touros,BR,2022-08-02 23:38:07,-5.1989,-35.4608,75.52,87,32,7.2
256,Tateyama,JP,2022-08-02 23:38:07,34.9833,139.8667,88.11,83,89,10.45
257,Platanos,GR,2022-08-02 23:38:08,37.6667,21.6167,78.08,72,1,3.87
258,Souillac,MU,2022-08-02 23:36:37,-20.5167,57.5167,68.38,88,75,6.91
259,Inhambane,MZ,2022-08-02 23:38:08,-23.865,35.3833,62.67,69,19,4.12
260,Wanlaweyn,SO,2022-08-02 23:38:09,2.6185,44.8938,73.17,81,10,13.82
261,Ciudad Bolivar,VE,2022-08-02 23:38:09,8.1222,-63.5497,78.82,81,83,10.33
262,Bourail,NC,2022-08-02 23:38:09,-21.5667,165.4833,75.45,82,100,5.75
263,Mahebourg,MU,2022-08-02 23:33:53,-20.4081,57.7,68.29,88,75,6.91
264,San Lorenzo,PY,2022-08-02 23:38:10,-25.3333,-57.5333,76.59,57,31,3.44
265,Cayenne,GF,2022-08-02 23:38:10,4.9333,-52.3333,83.08,1,20,1.01
266,Sirjan,IR,2022-08-02 23:38:11,29.452,55.6814,75.11,34,6,5.93
267,Lachhmangarh,IN,2022-08-02 23:38:11,27.8214,75.0251,84.76,68,100,7.65
268,Luyang,CN,2022-08-02 23:38:12,27.6239,110.0989,82.11,68,49,2.01
269,Impfondo,CG,2022-08-02 23:38:12,1.6381,18.0667,72.36,79,10,1.03
270,Sitka,US,2022-08-02 23:36:21,57.0531,-135.33,57.09,88,100,3.44
271,Xining,CN,2022-08-02 23:38:12,36.6167,101.7667,66.2,72,40,2.39
272,Batemans Bay,AU,2022-08-02 23:38:13,-35.7167,150.1833,58.1,57,80,8.99
273,Sukagawa,JP,2022-08-02 23:38:13,37.2833,140.3833,81.88,78,75,4.61
274,Palmer,US,2022-08-02 23:36:55,42.1584,-72.3287,81.21,76,75,0.0
275,Phuket,TH,2022-08-02 23:39:14,8.0,98.25,84.13,94,40,2.3
276,Ribeira Grande,PT,2022-08-02 23:39:14,38.5167,-28.7,75.4,83,50,13.69
277,Palanga,LT,2022-08-02 23:39:14,55.9175,21.0686,55.42,94,75,3.44
278,Pingdingshan,CN,2022-08-02 23:39:15,33.7385,113.3012,86.65,66,11,3.71
279,Waddan,LY,2022-08-02 23:39:15,29.1614,16.139,79.66,51,0,13.02
280,Kuito,AO,2022-08-02 23:39:15,-12.3833,16.9333,57.31,49,22,7.67
281,Zyryanka,RU,2022-08-02 23:39:16,65.75,150.85,62.94,91,100,13.87
282,Aksarka,RU,2022-08-02 23:39:16,66.5606,67.7975,56.34,71,40,7.54
283,Vadinsk,RU,2022-08-02 23:39:17,53.6916,43.0574,60.53,74,97,6.6
284,Klaksvik,FO,2022-08-02 23:39:17,62.2266,-6.589,49.12,90,100,18.81
285,Barao De Melgaco,BR,2022-08-02 23:39:17,-16.1944,-55.9675,77.49,27,96,3.2
286,Yar-Sale,RU,2022-08-02 23:36:44,66.8333,70.8333,56.55,66,16,7.96
287,Kirovskiy,RU,2022-08-02 23:39:18,45.0917,133.5136,79.43,81,100,4.61
288,Ahipara,NZ,2022-08-02 23:39:18,-35.1667,173.1667,61.9,70,100,3.91
289,Itambe,BR,2022-08-02 23:39:19,-15.245,-40.6244,66.2,78,61,3.06
290,Grindavik,IS,2022-08-02 23:39:19,63.8424,-22.4338,48.67,76,75,18.41
291,Rio Gallegos,AR,2022-08-02 23:39:19,-51.6226,-69.2181,35.65,87,0,1.14
292,Fare,PF,2022-08-02 23:39:20,-16.7,-151.0167,78.21,70,4,23.4
293,Provideniya,RU,2022-08-02 23:39:20,64.3833,-173.3,59.36,58,0,13.42
294,Edelira,PY,2022-08-02 23:39:21,-26.75,-55.2667,64.85,76,14,3.56
295,Sept-Iles,CA,2022-08-02 23:39:21,50.2001,-66.3821,68.0,94,75,5.75
