City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Qaqortoq,GL,60.7167,-46.0333,43.39,93,75,4.38,broken clouds
116,Malibu,US,34.005,-118.8101,94.68,61,0,13.44,clear sky
117,Nouadhibou,MR,20.931,-17.0347,73.38,94,75,12.66,broken clouds
118,Gizo,SB,-8.103,156.8419,84.13,71,42,11.05,scattered clouds
119,Clyde River,CA,70.4692,-68.5914,39.43,93,100,18.41,overcast clouds
120,Belfast,GB,54.5833,-5.9333,57.79,82,75,13.8,broken clouds
121,Okhotsk,RU,59.3833,143.3,58.73,82,100,17.47,overcast clouds
122,Coquimbo,CL,-29.9533,-71.3436,55.13,82,75,2.3,broken clouds
123,Pacific Grove,US,36.6177,-121.9166,75.54,76,0,5.99,clear sky
124,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,88,11,6.35,few clouds
125,Naze,JP,28.3667,129.4833,85.12,73,0,2.15,clear sky
126,Sakakah,SA,29.9697,40.2064,96.37,26,2,11.56,clear sky
127,New Norfolk,AU,-42.7826,147.0587,47.71,76,86,1.72,overcast clouds
128,Guerrero Negro,MX,27.9769,-114.0611,74.41,79,82,16.84,broken clouds
129,Sena Madureira,BR,-9.0656,-68.6569,75.72,83,97,1.01,overcast clouds
130,Bredasdorp,ZA,-34.5322,20.0403,56.57,83,100,20.74,overcast clouds
131,Esperance,AU,-33.8667,121.9,56.01,68,44,17.78,scattered clouds
132,Bethel,US,41.3712,-73.414,81.86,80,67,4.18,broken clouds
133,Laguna,US,38.421,-121.4238,94.44,36,0,5.01,clear sky
134,Nome,US,64.5011,-165.4064,55.17,62,75,16.11,broken clouds
135,Fortuna,US,40.5982,-124.1573,66.9,80,75,14.97,broken clouds
136,Sajanan,TN,37.0573,9.2426,74.32,85,0,6.78,clear sky
137,Usta Muhammad,PK,28.1794,68.0445,88.68,60,77,3.71,broken clouds
138,Awbari,LY,26.5921,12.7805,84.38,30,0,16.15,clear sky
139,Kaitangata,NZ,-46.2817,169.8464,39.96,89,99,4.05,overcast clouds
140,Albany,US,42.6001,-73.9662,82.51,92,45,4.29,scattered clouds
141,Saint George,US,37.1041,-113.5841,98.94,16,0,13.8,clear sky
142,Port Macquarie,AU,-31.4333,152.9167,63.9,39,2,8.99,clear sky
143,Panalingaan,PH,8.7842,117.4231,81.72,82,100,9.35,overcast clouds
144,Banda Aceh,ID,5.5577,95.3222,80.04,75,100,10.36,overcast clouds
145,Homer,US,59.6425,-151.5483,56.8,74,67,13.0,broken clouds
146,Baoying,CN,33.2292,119.3092,90.79,61,95,9.26,overcast clouds
147,Fort Dodge,US,42.4975,-94.168,95.02,83,100,13.8,overcast clouds
148,Trairi,BR,-3.2778,-39.2689,77.47,85,5,11.03,clear sky
149,Villazon,BO,-22.0866,-65.5942,38.75,15,1,8.39,clear sky
150,Cabedelo,BR,-6.9811,-34.8339,75.87,85,11,11.5,few clouds
151,Gatton,AU,-27.55,152.2833,65.34,39,2,8.7,clear sky
152,Kirakira,SB,-10.4544,161.9205,85.05,71,52,10.76,broken clouds
153,Sao Filipe,CV,14.8961,-24.4956,78.37,86,86,2.95,overcast clouds
154,Broken Hill,AU,-31.95,141.4333,53.2,57,0,12.97,clear sky
155,Faanui,PF,-16.4833,-151.75,78.21,74,100,25.57,overcast clouds
156,Roma,US,43.2128,-75.4557,78.87,94,14,3.33,few clouds
157,Honiara,SB,-9.4333,159.95,87.24,63,20,6.06,few clouds
158,Kruisfontein,ZA,-34.0033,24.7314,54.88,89,100,12.97,light rain
159,Villa Constitucion,AR,-33.2278,-60.3297,52.02,68,100,4.99,overcast clouds
160,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,8.05,broken clouds
161,Sabaudia,IT,41.3003,13.0282,81.19,87,78,8.93,broken clouds
162,Matara,LK,5.9485,80.5353,76.64,92,100,10.2,overcast clouds
163,Naryan-Mar,RU,67.6713,53.087,65.73,75,0,9.66,clear sky
164,Avera,US,33.194,-82.5271,75.25,74,31,3.04,scattered clouds
165,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,100,11.5,overcast clouds
166,Fenoarivo,MG,-18.933,47.4354,50.07,100,40,4.61,scattered clouds
167,Karaman,TR,37.0833,33.25,65.77,78,0,7.94,clear sky
168,Cidreira,BR,-30.1811,-50.2056,55.67,81,100,12.1,overcast clouds
169,Nikki,BJ,9.9401,3.2108,70.92,86,41,5.08,scattered clouds
170,Cockburn Town,TC,21.4612,-71.1419,82.06,80,3,20.33,clear sky
171,San Jose,US,37.3394,-121.895,81.91,57,0,17.27,clear sky
172,Trogir,HR,43.5125,16.2517,86.05,42,0,11.5,clear sky
173,Valle Hermoso,MX,25.6667,-97.8333,86.94,63,98,15.17,overcast clouds
174,Iqaluit,CA,63.7506,-68.5145,55.13,62,75,14.97,broken clouds
175,Priboj,BA,44.6028,18.9314,73.24,80,0,8.03,clear sky
176,Jumla,NP,29.2747,82.1838,62.44,96,100,2.06,overcast clouds
177,Praia,CV,14.9215,-23.5087,79.34,89,75,8.05,broken clouds
178,Nanortalik,GL,60.1432,-45.2371,43.18,95,47,9.06,scattered clouds
179,Caravelas,BR,-17.7125,-39.2481,70.57,88,1,1.48,clear sky
180,Dudinka,RU,69.4058,86.1778,51.62,85,100,5.84,overcast clouds
181,Dicabisagan,PH,17.0818,122.4157,82.8,77,100,5.59,overcast clouds
182,Braganca Paulista,BR,-22.94,-46.5556,57.49,92,100,5.55,overcast clouds
183,Kuloy,RU,61.0305,42.4925,64.99,71,0,7.72,clear sky
184,Sept-Iles,CA,50.2001,-66.3821,63.12,81,100,4.0,overcast clouds
185,Awjilah,LY,29.1081,21.2869,77.67,61,0,10.65,clear sky
186,Ukiah,US,39.1502,-123.2078,88.65,43,0,5.99,clear sky
187,Necochea,AR,-38.5473,-58.7368,43.5,81,100,6.6,overcast clouds
188,Kununurra,AU,-15.7667,128.7333,84.18,30,7,9.22,clear sky
189,Lompoc,US,34.6391,-120.4579,83.79,68,0,25.01,clear sky
190,San Quintin,MX,30.4833,-115.95,72.5,81,93,13.15,overcast clouds
