City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Marsh Harbour,BS,83.64,clear sky,26.5412,-77.0636,Abaco Beach Resort
267,Paonta Sahib,IN,79.2,heavy intensity rain,30.45,77.6167,OYO 37501 The Brighton Hotel
270,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
274,Half Moon Bay,US,78.04,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
279,Sungairaya,ID,80.02,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
280,Grand-Lahou,CI,72.73,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
281,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
285,Abu Zabad,SD,73.13,overcast clouds,12.35,29.25,حامد محمد نور
288,Mabaruma,GY,75.25,clear sky,8.2,-59.7833,Monty Brooms Guest House
290,Champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
292,Cabo San Lucas,MX,87.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
293,Puerto Narino,CO,73.51,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
294,San Miguel,SV,79.75,broken clouds,13.4833,-88.1833,Excalibur
295,Sulina,RO,75.6,clear sky,45.1559,29.6536,Hotel Delta Est
297,Yanliang,CN,86.99,overcast clouds,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
301,Corinto,GR,83.89,clear sky,37.9407,22.9573,Ephira Hotel
302,Iquitos,PE,77.04,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
303,Dingle,PH,74.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
307,Makakilo City,US,85.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
308,San Patricio,US,86.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
310,Belmonte,BR,72.19,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
314,San Policarpo,PH,77.31,overcast clouds,12.1791,125.5072,Agapita M. Nicart
316,Ranot,TH,80.51,moderate rain,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
319,Mehriz,IR,82.9,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
320,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
321,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
322,Pochutla,MX,77.58,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
325,Porto Walter,BR,71.92,few clouds,-8.2686,-72.7439,Hotel Silva
327,Porto Novo,BJ,72.34,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
328,Kendari,ID,73.6,overcast clouds,-3.945,122.4989,Hotel Wixel
330,Bubaque,GW,75.58,very heavy rain,11.2833,-15.8333,"Casa Dora, Bubaque"
335,Port Hawkesbury,CA,73.58,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
339,Lixourion,GR,77.58,clear sky,38.2019,20.4314,Hotel Summery
344,Jalna,IN,75.4,overcast clouds,19.8333,75.8833,HOTEL SHIVNERI PALACE
345,Shouguang,CN,87.13,overcast clouds,36.88,118.7375,Communications Hotel
346,Lagoa,PT,74.01,clear sky,39.05,-27.9833,Casa Das Faias
347,Laureles,US,86.11,overcast clouds,26.1092,-97.4941,Los Fresnos Inn
348,Lazaro Cardenas,MX,78.48,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
351,Miramar,US,85.03,few clouds,25.9873,-80.2323,Stadium Hotel
352,Kudahuvadhoo,MV,82.0,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
355,Bambanglipuro,ID,76.91,overcast clouds,-7.95,110.2833,Puri Brata
357,Goderich,CA,78.91,clear sky,43.7501,-81.7165,Harmony Inn
358,Charters Towers,AU,73.74,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
359,Bida,NG,73.17,scattered clouds,9.0833,6.0167,Royal Suite
365,Acarau,BR,77.59,clear sky,-2.8856,-40.12,castelo pizzaria
367,Manado,ID,83.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
369,Jalu,LY,77.92,clear sky,29.0331,21.5482,صاحبة الفخامة
370,Seymour,US,80.1,clear sky,38.9592,-85.8903,Fairfield Inn & Suites by Marriott Seymour
374,Tautira,PF,75.65,light rain,-17.7333,-149.15,Pension Oaoa
375,Mangan,IN,79.86,few clouds,27.5167,88.5333,Hotel Mout View
377,Arys,KZ,75.02,few clouds,42.4252,68.795,Gostinitsa
379,Port-Gentil,GA,73.74,overcast clouds,-0.7193,8.7815,Fengshui Residence
380,Hasaki,JP,86.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
381,Itarema,BR,77.5,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
383,Banepa,NP,70.12,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
384,Labuhan,ID,78.75,overcast clouds,-6.8844,112.2051,DoubleFAG
386,Maceio,BR,74.16,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
391,Praia Da Vitoria,PT,71.85,thunderstorm with light rain,38.7333,-27.0667,Hotel Branco I
392,Nizza Monferrato,IT,72.55,light rain,44.7738,8.3539,Hotel DOC
394,Marrakesh,MA,78.87,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
396,Smithers,CA,74.44,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
397,Itacarambi,BR,79.11,overcast clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
398,Bandarbeyla,SO,76.28,scattered clouds,9.4942,50.8122,JABIR HOTEL
403,Puerto Del Rosario,ES,73.15,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
407,Mecca,SA,87.64,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
410,Tevaitoa,PF,77.68,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
412,Lynn Haven,US,78.98,scattered clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
414,Westport,US,83.12,clear sky,41.1415,-73.3579,The Westport Inn
415,Kuryk,KZ,79.95,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
417,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
422,Iwaki,JP,83.01,broken clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
423,Omboue,GA,71.44,overcast clouds,-1.5746,9.2618,Hotel Olako
424,Eatonton,US,78.22,broken clouds,33.3268,-83.3885,Western Motel of Eatonton
429,Lishan,CN,86.5,overcast clouds,31.8576,113.2951,Hongdu Hotel
434,Mizdah,LY,73.78,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
435,Acapulco,MX,81.43,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
437,Ahuimanu,US,89.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
439,Ponta Delgada,PT,74.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
443,Pundaguitan,PH,83.01,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
